"publication_id","experiment_id","treatment_id","nsamp","t1","t2","w1","w2","errorw1","errorw2","igr.mu","igr.sd","fr.mu","fr.sd","prey_type","exp_id","experiment","t","main_prey","Rcomma","Temperature","case","z1","z2","Index.t","Index.e","Index.no","Index.food"
"bae_10",1,3,30,14,21,0.257767,0.412,0.0495146,0.057,6.8229224533574,0.2,NA,NA,"mysids","bae_10_1_3","bae_10_1",17.5,"small_shrimp",1,20.5,4,0.599999999999999,0.551724137931034,1,1,1,1
"dom_03a",3,7,25,1,5,0.273,0.388785,0.035,0.1196262,7.604396,4.9,NA,NA,"crangon","dom_03a_3_7","dom_03a_3",3,"fish",1,20,2,0.599999999999999,0.517241379310345,2,2,1,2
"cor_08",1,1,30,27,34,3.322148,4.060403,0.268457,0.402685,5.327434,0.805309,15.09,1,"shrimp","cor_08_1_1","cor_08_1",30.5,"medium_shrimp",1,18.5,1,0.599999999999999,0.413793103448276,3,3,1,3
"kou_01",1,6,12,14,24,NA,NA,NA,NA,6.716724,0.709898000000001,12,NA,"mysids;crangon","kou_01_1_6","kou_01_1",19,"shrimp_mix",0.571428571428571,20,1,0.342857142857142,0.517241379310345,4,4,1,4
"syk_06",4,4,50,15,29,NA,NA,NA,NA,10.78125,0.563147992460321,NA,NA,"grass shrimp","syk_06_4_4","syk_06_4",22,"medium_shrimp",1,21,3,0.599999999999999,0.586206896551724,5,5,1,3
"syk_13",1,1,50,5,10,NA,NA,NA,NA,12.93976,1.26506,NA,NA,"grass shrimp","syk_13_1_1","syk_13_1",7.5,"medium_shrimp",1,24,1,0.599999999999999,0.793103448275862,6,6,1,3
"dom_04",1,1,90,1,8,0.1,0.154,0.014,0.042,6.4,0.4,NA,NA,"mysids","dom_04_1_1","dom_04_1",4.5,"small_shrimp",1,20,1,0.599999999999999,0.517241379310345,7,7,1,1
"cor_08b",2,2,60,29,36,NA,NA,NA,NA,5.5,0.5,14,0.8,"grass shrimp","cor_08b_2_2","cor_08b_2",32.5,"medium_shrimp",0.857142857142857,18.5,1,0.514285714285713,0.413793103448276,8,8,1,3
"kou_01",1,1,12,4,14,NA,NA,NA,NA,0.1365188,0.3003413,0,NA,"mysids;crangon","kou_01_1_1","kou_01_1",9,"shrimp_mix",0,20,1,0,0.517241379310345,9,4,1,4
"kou_02",3,6,36,4,14,NA,0.300813,NA,0.0731707,8.291667,1.125,43.11,5.86,"crangon","kou_02_3_6","kou_02_3",9,"medium_shrimp",1.14285714285714,20,1,0.685714285714283,0.517241379310345,10,9,1,3
"dom_04",2,4,60,30,37,0.61,0.95,0.09,0.15,6.1,0.05,NA,NA,"grass_shrimp","dom_04_2_4","dom_04_2",33.5,"medium_shrimp",1,20,1,0.599999999999999,0.517241379310345,11,10,1,3
"kou_01",1,10,12,24,44,NA,NA,NA,NA,8.354949,2.156996,17,NA,"mysids;crangon","kou_01_1_10","kou_01_1_",34,"shrimp_mix",1.14285714285714,20,1,0.685714285714283,0.517241379310345,12,11,1,4
"kou_01",1,10,12,4,14,NA,NA,NA,NA,12.72355,1.31058,36,NA,"mysids;crangon","kou_01_1_10","kou_01_1_",9,"shrimp_mix",1.14285714285714,20,1,0.685714285714283,0.517241379310345,12,11,1,4
"bae_10",1,1,30,0,7,0.102,0.1135922,0.018,0.018932,1.56108554802941,0.1,NA,NA,"caprellids","bae_10_1_1","bae_10_1",3.5,"amphipods",1,20.5,4,0.599999999999999,0.551724137931034,13,1,1,5
"kou_01",1,3,12,4,14,NA,NA,NA,NA,1.010239,0.191126,3,NA,"mysids;crangon","kou_01_1_3","kou_01_1",9,"shrimp_mix",0.0857142857142857,20,1,0.0514285714285713,0.517241379310345,14,4,1,4
"kou_01",1,4,12,4,14,NA,NA,NA,NA,0.6825939,0.3276448,5,NA,"mysids;crangon","kou_01_1_4","kou_01_1",9,"shrimp_mix",0.142857142857143,20,1,0.0857142857142856,0.517241379310345,15,4,1,4
"dom_01b",1,2,30,10,20,NA,1.47,NA,0.12,11.4,1.58171632724406,NA,NA,"mysids","dom_01b_1_2","dom_01b_1",15,"medium_shrimp",1,27,3,0.599999999999999,1,16,12,1,3
"syk_13",1,1,50,20,25,NA,NA,NA,NA,9.253012,0.542168999999999,NA,NA,"grass shrimp","syk_13_1_1","syk_13_1",22.5,"medium_shrimp",1,24,1,0.599999999999999,0.793103448275862,6,6,1,3
"kou_02",3,6,36,24,29,0.9512195,1.520325,0.0731707,0.105691,7.791667,0.458334000000001,38.14,2.54,"crangon","kou_02_3_6","kou_02_3",26.5,"medium_shrimp",1.14285714285714,20,1,0.685714285714283,0.517241379310345,10,9,1,3
"cor_08b",2,2,60,22,29,NA,NA,NA,NA,10,0.3,14.2,0.7,"grass shrimp","cor_08b_2_2","cor_08b_2",25.5,"medium_shrimp",0.857142857142857,18.5,1,0.514285714285713,0.413793103448276,8,8,1,3
"dom_01b",2,4,20,0,10,0.17,0.52,0.05,0.14,11.18,0.3,NA,NA,"mysids","dom_01b_2_4","dom_01b_2",5,"medium_shrimp",1,27,2,0.599999999999999,1,17,13,1,3
"syk_06",3,3,35,22,29,NA,NA,NA,NA,3.246753,0.695358043773446,NA,NA,"grass shrimp","syk_06_3_3","syk_06_3",25.5,"medium_shrimp",1,15,3,0.599999999999999,0.172413793103448,18,14,1,3
"kou_01",1,9,12,4,14,NA,NA,NA,NA,11.87713,0.57338,30,NA,"mysids;crangon","kou_01_1_9","kou_01_1",9,"shrimp_mix",1,20,1,0.599999999999999,0.517241379310345,19,4,1,4
"dom_03a",3,7,25,25,30,1.226168,1.55514,0.418692,0.553271,4.813187,0.9,NA,NA,"fish fry","dom_03a_3_7","dom_03a_3",27.5,"fish",1,20,2,0.599999999999999,0.517241379310345,2,2,1,2
