"year","area","month","mu.t","sd.t"
2012,"coastal",1,11.7061228752136,0.909389588191484
2012,"coastal",2,6.86285877227783,1.54435604238746
2012,"coastal",3,9.2833456993103,1.77551033766209
2012,"coastal",4,12.3056669235229,1.41273031145202
2012,"coastal",5,16.0323667526245,1.7597884729526
2012,"coastal",6,19.1780738830566,2.56301503650571
2012,"coastal",7,23.2092370986938,2.76819878352457
2012,"coastal",8,25.8991527557373,2.50726971461735
2012,"coastal",9,23.9732990264893,0.824206943550252
2012,"coastal",10,21.1160488128662,0.709731850466383
2012,"coastal",11,17.0968389511108,0.80507995326111
2012,"coastal",12,13.2076287269592,0.890869887709221
2012,"offshore",1,12.5147075653076,0.631732263870521
2012,"offshore",2,9.15482044219971,1.22010255294542
2012,"offshore",3,9.42028713226318,1.2905312237447
2012,"offshore",4,10.5459899902344,0.889799114820212
2012,"offshore",5,12.3860940933228,0.923974527220341
2012,"offshore",6,14.9124155044556,0.839652701488671
2012,"offshore",7,16.7958850860596,1.05603618732199
2012,"offshore",8,17.9496479034424,1.44095241043186
2012,"offshore",9,19.1408004760742,1.42421241402195
2012,"offshore",10,20.1643657684326,0.832633161287935
2012,"offshore",11,18.1234893798828,0.421695612576185
2012,"offshore",12,14.7109804153442,0.647604916654782
2013,"coastal",1,11.4029846191406,0.947711320042918
2013,"coastal",2,9.60675001144409,0.922372892190131
2013,"coastal",3,9.96648645401001,0.753331525665662
2013,"coastal",4,11.7418761253357,1.15617680597654
2013,"coastal",5,15.7056283950806,1.77626157408138
2013,"coastal",6,19.5640411376953,2.17571166651516
2013,"coastal",7,22.7025737762451,3.12462998919067
2013,"coastal",8,24.7853164672852,2.59538175197519
2013,"coastal",9,23.623818397522,1.57264043043158
2013,"coastal",10,20.2135877609253,0.667150175955644
2013,"coastal",11,17.0091991424561,0.761823063360809
2013,"coastal",12,13.0235590934753,1.05796898556475
2013,"offshore",1,12.7078380584717,0.756151096412383
2013,"offshore",2,10.9403104782104,0.770679218779623
2013,"offshore",3,10.6632452011108,0.835126537754346
2013,"offshore",4,11.4495868682861,0.800641833751653
2013,"offshore",5,13.1279811859131,0.548756372826305
2013,"offshore",6,15.2641735076904,0.605898517438068
2013,"offshore",7,16.6156311035156,0.711108286260707
2013,"offshore",8,18.0839538574219,1.19307891334811
2013,"offshore",9,18.0295543670654,1.23194056518773
2013,"offshore",10,18.991418838501,0.649516614450678
2013,"offshore",11,18.2239952087402,0.295015619105278
2013,"offshore",12,14.2736492156982,0.875491055138025
2014,"coastal",1,12.3115148544312,0.942413896760403
2014,"coastal",2,11.4406642913818,0.815076263208886
2014,"coastal",3,12.4745345115662,0.489328223824895
2014,"coastal",4,14.9229950904846,0.611771829863678
2014,"coastal",5,17.4430751800537,1.06304949765372
2014,"coastal",6,21.1848077774048,2.04373919416054
2014,"coastal",7,23.5694894790649,2.29092522322378
2014,"coastal",8,24.8683671951294,2.16022460880422
2014,"coastal",9,23.0248003005981,0.68289426019203
2014,"coastal",10,21.2655534744263,0.568316007385465
2014,"coastal",11,17.7813749313354,0.951624579673643
2014,"coastal",12,14.4549922943115,0.835326280076232
2014,"offshore",1,13.3246173858643,0.830780774270259
2014,"offshore",2,12.7602014541626,0.735257889355411
2014,"offshore",3,12.9889917373657,0.502060584464731
2014,"offshore",4,14.00657081604,0.340390705838899
2014,"offshore",5,15.4124593734741,0.425810983471942
2014,"offshore",6,16.7492561340332,0.670894894643484
2014,"offshore",7,17.7850303649902,0.852423435016529
2014,"offshore",8,18.4940509796143,1.14601541328123
2014,"offshore",9,19.275182723999,1.27777154041777
2014,"offshore",10,19.8779430389404,1.06833086976239
2014,"offshore",11,18.3717098236084,0.449673422192406
2014,"offshore",12,15.5574884414673,0.501563566179368
2015,"coastal",1,11.3750905990601,1.02043507621568
2015,"coastal",2,9.66010570526123,0.989324195907363
2015,"coastal",3,10.3054475784302,0.666137738169326
2015,"coastal",4,12.8888940811157,0.754258252817824
2015,"coastal",5,16.2517032623291,1.74560814709062
2015,"coastal",6,19.8446969985962,2.75790600337747
2015,"coastal",7,22.9985656738281,3.18668292402241
2015,"coastal",8,25.9069366455078,2.72730152917085
2015,"coastal",9,23.8404054641724,1.13242506394114
2015,"coastal",10,19.3194026947021,0.587520835945058
2015,"coastal",11,16.2623414993286,0.761411415933278
2015,"coastal",12,13.772677898407,1.07123826111955
2015,"offshore",1,12.4979696273804,0.743632133186465
2015,"offshore",2,11.0064916610718,0.94018760436814
2015,"offshore",3,10.6855630874634,0.765163519346596
2015,"offshore",4,11.5480213165283,0.570294893181029
2015,"offshore",5,12.9255332946777,0.58614535595214
2015,"offshore",6,14.6593151092529,0.704302648174507
2015,"offshore",7,16.4016151428223,1.17779923294316
2015,"offshore",8,16.8568992614746,1.61928635811463
2015,"offshore",9,17.9080772399902,1.45513398171775
2015,"offshore",10,19.2236614227295,0.564424088788342
2015,"offshore",11,17.0914516448975,0.534871459529792
2015,"offshore",12,14.723183631897,0.733796254100223
2016,"coastal",1,11.3410129547119,1.26179169158203
2016,"coastal",2,10.7844800949097,0.898431329405308
2016,"coastal",3,10.6549196243286,0.532080812010535
2016,"coastal",4,13.440025806427,0.916382852891032
2016,"coastal",5,16.2331399917603,1.20078890500117
2016,"coastal",6,19.7497510910034,2.14573087484031
2016,"coastal",7,23.771803855896,2.42467152131442
2016,"coastal",8,25.7450284957886,1.20463024202796
2016,"coastal",9,24.5700778961182,0.644566141897729
2016,"coastal",10,20.4138154983521,0.746016344787564
2016,"coastal",11,16.4353656768799,0.775773975172584
2016,"coastal",12,13.5129075050354,1.10298071598577
2016,"offshore",1,12.9823131561279,0.825961358395342
2016,"offshore",2,11.8149948120117,0.723498901992887
2016,"offshore",3,11.5093421936035,0.451741392854859
2016,"offshore",4,12.309588432312,0.496498030452311
2016,"offshore",5,14.0911178588867,0.471460728221614
2016,"offshore",6,16.479133605957,0.479194308119466
2016,"offshore",7,18.5482997894287,0.82392899685296
2016,"offshore",8,20.0788974761963,1.68570152770576
2016,"offshore",9,19.4130325317383,1.95793253483243
2016,"offshore",10,19.7546119689941,0.70749117678246
2016,"offshore",11,17.2876014709473,0.360525392990009
2016,"offshore",12,14.660044670105,0.800014603796097
2017,"coastal",1,9.91339349746704,1.1520580276885
2017,"coastal",2,8.95513868331909,1.43784241625989
2017,"coastal",3,11.1054801940918,0.88514085665427
2017,"coastal",4,13.8736367225647,1.1783648860587
