"publication_id","experiment_id","treatment_id","nsamp","t1","t2","w1","w2","errorw1","errorw2","igr.mu","igr.sd","fr.mu","fr.sd","prey_type","exp_id","experiment","t","main_prey","Rcomma","Temperature","case"
"alm_06",1,1,30,60,120,13.3,85.6,3.4,11.1,3.1,0.1,NA,NA,"grass shrimp","alm_06_1_1","alm_06_1",90,"medium_shrimp",1,21,2
"alm_06",1,2,30,60,120,12.9,35,2.8,3.9,1.7,0.1,NA,NA,"fish","alm_06_1_2","alm_06_1",90,"fish",1,21,2
"alm_06",2,3,30,120,180,85.6,300.4,11.7,44.9,2.1,0.1,NA,NA,"grass shrimp","alm_06_2_3","alm_06_2",150,"medium_shrimp",NA,21,2
"alm_06",2,4,30,120,180,86.2,155.4,8.6,22.7,1,0.1,NA,NA,"fish","alm_06_2_4","alm_06_2",150,"fish",NA,21,2
"bae_10",1,1,30,0,7,0.102,0.1135922,0.018,0.018932,1.56108554802941,0.1,NA,NA,"caprellids","bae_10_1_1","bae_10_1",3.5,"amphipods",1,20.5,4
"bae_10",1,1,30,7,14,0.1135922,0.1208738,0.018932,0.0247573,0.789773859062245,1.8,NA,NA,"caprellids","bae_10_1_1","bae_10_1",10.5,"amphipods",1,20.5,4
"bae_10",1,1,30,14,21,0.1208738,0.149,0.0247573,0.009,3.25608301424409,0.4,NA,NA,"caprellids","bae_10_1_1","bae_10_1",17.5,"amphipods",1,20.5,4
"bae_10",1,2,30,0,7,0.102,0.15,0.018,0.0247573,5.53653665582287,0.1,NA,NA,"gammarids","bae_10_1_2","bae_10_1",3.5,"amphipods",1,20.5,4
"bae_10",1,2,30,7,14,0.15,0.2009709,0.0247573,0.0451456,4.01925864712796,2,NA,NA,"gammarids","bae_10_1_2","bae_10_1",10.5,"amphipods",1,20.5,4
"bae_10",1,2,30,14,21,0.2009709,0.24,0.0451456,0.043,2.66136744042634,0.1,NA,NA,"gammarids","bae_10_1_2","bae_10_1",17.5,"amphipods",1,20.5,4
"bae_10",1,3,30,0,7,0.102,0.1587379,0.018,0.0291262,6.30083699002775,0.3,NA,NA,"mysids","bae_10_1_3","bae_10_1",3.5,"small_shrimp",1,20.5,4
"bae_10",1,3,30,7,14,0.1587379,0.257767,0.0291262,0.0495146,6.9034416922505,0.9,NA,NA,"mysids","bae_10_1_3","bae_10_1",10.5,"small_shrimp",1,20.5,4
"bae_10",1,3,30,14,21,0.257767,0.412,0.0495146,0.057,6.8229224533574,0.2,NA,NA,"mysids","bae_10_1_3","bae_10_1",17.5,"small_shrimp",1,20.5,4
"cap_20",1,1,24,75,90,29.62963,54.32099,2.46914,14.81482,2.333333,3.9487176,5.507425,0.0618833333333342,"grass_shrimp","cap_20_1_1","cap_20_1",82.5,"medium_shrimp",1,15,1
"cap_20",1,1,24,90,105,54.32099,81.48148,14.81482,22.22222,1.769231,2.8717946,5.32178333333333,0.185641666666666,"grass_shrimp","cap_20_1_1","cap_20_1",97.5,"medium_shrimp",1,15,1
"cap_20",1,1,24,105,120,81.48148,106.1728,22.22222,24.69128,1.25641,2.1025638,1.71720291666667,0.0618816666666664,"grass_shrimp","cap_20_1_1","cap_20_1",112.5,"medium_shrimp",1,15,1
"cap_20",1,1,24,120,135,106.1728,129.6296,24.69128,32.0988,0.8717949,1.3333338,2.61448,0.1237625,"grass_shrimp","cap_20_1_1","cap_20_1",127.5,"medium_shrimp",1,15,1
"cap_20",1,1,24,135,150,129.6296,135.8025,32.0988,29.6296,0.2307692,0.30769232,1.28403458333333,0.0618816666666668,"grass_shrimp","cap_20_1_1","cap_20_1",142.5,"medium_shrimp",1,15,1
"cap_20",1,1,24,150,172,135.8025,154.321,29.6296,39.5062,0.4102564,0.5897436,1.4232675,0.0928216666666668,"grass_shrimp","cap_20_1_1","cap_20_1",161,"medium_shrimp",1,15,1
"cap_20",1,1,24,172,195,154.321,165.4321,39.5062,49.3828,0.2820513,0.51282052,1.299505,0.0309408333333332,"grass_shrimp","cap_20_1_1","cap_20_1",183.5,"medium_shrimp",1,15,1
"cap_20",1,1,24,195,210,165.4321,181.4815,49.3828,54.321,0.4102564,0.5897436,1.40779708333333,0.52599,"grass_shrimp","cap_20_1_1","cap_20_1",202.5,"medium_shrimp",1,15,1
"cap_20",1,1,24,210,225,181.4815,195.0617,54.321,61.7284,0.3333333,0.3589743,1.34591583333333,0.495049166666667,"grass_shrimp","cap_20_1_1","cap_20_1",217.5,"medium_shrimp",1,15,1
"cap_20",1,1,24,225,240,195.0617,203.7037,61.7284,66.6666,0.2564103,0.2051282,1.77908416666667,0.0618808333333334,"grass_shrimp","cap_20_1_1","cap_20_1",232.5,"medium_shrimp",1,15,1
"cap_20",1,2,24,75,90,33.33333,55.55556,4.93826,7.40742,3.564103,0.846154,5.6311875,0.495049999999999,"grass_shrimp","cap_20_1_2","cap_20_1",82.5,"medium_shrimp",1,15,1
"cap_20",1,2,24,90,105,55.55556,83.95062,7.40742,24.69136,2.435897,0.48718,5.44554583333333,0.278466666666667,"grass_shrimp","cap_20_1_2","cap_20_1",97.5,"medium_shrimp",1,15,1
"cap_20",1,2,24,105,120,83.95062,100,24.69136,32.09876,1.282051,0.410257,2.66089125,2.07301916666667,"grass_shrimp","cap_20_1_2","cap_20_1",112.5,"medium_shrimp",1,15,1
"cap_20",1,2,24,120,135,100,120.9877,32.09876,51.85194,1.205128,0.358974,3.32611375,0.402228333333333,"grass_shrimp","cap_20_1_2","cap_20_1",127.5,"medium_shrimp",1,15,1
"cap_20",1,2,24,135,150,120.9877,132.0988,51.85194,59.2594,0.5641026,0.2820513,1.54702958333333,0.3712875,"grass_shrimp","cap_20_1_2","cap_20_1",142.5,"medium_shrimp",1,15,1
"cap_20",1,2,24,150,172,132.0988,146.9136,59.2594,56.7902,0.4871795,0.4102564,1.50061875,0.340346666666667,"grass_shrimp","cap_20_1_2","cap_20_1",161,"medium_shrimp",1,15,1
"cap_20",1,2,24,172,195,146.9136,161.7284,56.7902,66.6666,0.5641026,0.1538461,1.45420791666667,0.6497525,"grass_shrimp","cap_20_1_2","cap_20_1",183.5,"medium_shrimp",1,15,1
"cap_20",1,2,24,195,210,161.7284,172.8395,66.6666,79.0124,0.4871795,0.3333333,1.37685625,0.154703333333333,"grass_shrimp","cap_20_1_2","cap_20_1",202.5,"medium_shrimp",1,15,1
"cap_20",1,2,24,210,225,172.8395,183.9506,79.0124,86.4198,0.4358974,0.4102564,1.54702958333333,0.278465833333334,"grass_shrimp","cap_20_1_2","cap_20_1",217.5,"medium_shrimp",1,15,1
"cap_20",1,3,24,75,90,30.8642,54.32099,2.46914,14.81482,3.512821,0.307693,5.60024583333333,0.123766666666666,"grass_shrimp","cap_20_1_3","cap_20_1",82.5,"medium_shrimp",1,15,1
"cap_20",1,3,24,90,105,54.32099,82.71605,14.81482,27.1605,2.666667,0.307692,5.22895833333333,0.340349999999998,"grass_shrimp","cap_20_1_3","cap_20_1",97.5,"medium_shrimp",1,15,1
"cap_20",1,3,24,105,120,82.71605,108.642,27.1605,34.56796,1.820513,0.358974,1.65532166666667,0.185644166666667,"grass_shrimp","cap_20_1_3","cap_20_1",112.5,"medium_shrimp",1,15,1
"cap_20",1,3,24,120,135,108.642,134.5679,34.56796,46.9136,1.410256,0.333334,2.42883666666667,0.185643333333333,"grass_shrimp","cap_20_1_3","cap_20_1",127.5,"medium_shrimp",1,15,1
"cap_20",1,3,24,135,150,134.5679,143.2099,46.9136,46.9136,0.4615385,0.2564103,1.1757425,0.0928216666666666,"grass_shrimp","cap_20_1_3","cap_20_1",142.5,"medium_shrimp",1,15,1
"cap_20",1,3,24,150,172,143.2099,158.0247,46.9136,61.7284,0.4615385,0.3333333,1.299505,0.0928216666666666,"grass_shrimp","cap_20_1_3","cap_20_1",161,"medium_shrimp",1,15,1
"cap_20",1,3,24,172,195,158.0247,172.8395,61.7284,69.1358,0.5641026,0.1794872,1.20668333333333,0.0928216666666666,"grass_shrimp","cap_20_1_3","cap_20_1",183.5,"medium_shrimp",1,15,1
"cap_20",1,3,24,195,210,172.8395,187.6543,69.1358,79.0124,0.5128205,0.2051282,1.14480208333333,0.309405833333334,"grass_shrimp","cap_20_1_3","cap_20_1",202.5,"medium_shrimp",1,15,1
"cap_20",1,3,24,210,225,187.6543,198.7654,79.0124,93.827,0.3846154,0.2051282,1.34591583333333,0.0928216666666668,"grass_shrimp","cap_20_1_3","cap_20_1",217.5,"medium_shrimp",1,15,1
"cap_20",1,3,24,225,240,198.7654,217.284,93.827,101.2346,0.5128205,0.2820513,2.15037125,0.464109166666667,"grass_shrimp","cap_20_1_3","cap_20_1",232.5,"medium_shrimp",1,15,1
"cla_89",1,10,36,40,54,NA,NA,NA,NA,6.40501044281218,1.10431186085688,NA,NA,"mysids","cla_89_1_10","cla_89_1_",47,"small_shrimp",0.486140724946694,17.5,1
"cla_89",1,11,36,40,54,NA,NA,NA,NA,11.3575716635858,2.76658792285184,NA,NA,"mysids","cla_89_1_11","cla_89_1_",47,"small_shrimp",0.972281449893391,17.5,1
"cla_89",1,12,36,40,54,NA,NA,NA,NA,12.5210780874721,6.12919845393925,NA,NA,"mysids","cla_89_1_12","cla_89_1_",47,"small_shrimp",1.45842217484009,17.5,1
"cla_89",1,2,36,40,54,NA,NA,NA,NA,0.118187852327483,3.30925968859688,NA,NA,"mysids","cla_89_1_2","cla_89_1",47,"small_shrimp",0,12.5,1
"cla_89",1,3,36,40,54,NA,NA,NA,NA,3.35994510589503,3.45327775360071,NA,NA,"mysids","cla_89_1_3","cla_89_1",47,"small_shrimp",0.145842217484009,12.5,1
"cla_89",1,4,36,40,54,NA,NA,NA,NA,7.14328960104931,2.35797946045517,NA,NA,"mysids","cla_89_1_4","cla_89_1",47,"small_shrimp",0.291684434968017,12.5,1
"cla_89",1,5,36,40,54,NA,NA,NA,NA,8.20078663902221,1.84358673078066,NA,NA,"mysids","cla_89_1_5","cla_89_1",47,"small_shrimp",0.486140724946694,12.5,1
"cla_89",1,6,36,40,54,NA,NA,NA,NA,8.88522105778383,6.30370428034107,NA,NA,"mysids","cla_89_1_6","cla_89_1",47,"small_shrimp",0.972281449893391,12.5,1
"cla_89",1,7,36,40,54,NA,NA,NA,NA,6.20786920138783,5.98348826347039,NA,NA,"mysids","cla_89_1_7","cla_89_1",47,"small_shrimp",1.45842217484009,12.5,1
"cla_89",1,8,36,40,54,NA,NA,NA,NA,-3.26684813455938,6.68219071068189,NA,NA,"mysids","cla_89_1_8","cla_89_1",47,"small_shrimp",0.145842217484009,17.5,1
"cla_89",1,9,36,40,54,NA,NA,NA,NA,1.49940473000149,0.963903078812362,NA,NA,"mysids","cla_89_1_9","cla_89_1",47,"small_shrimp",0.291684434968017,17.5,1
"cor_08",1,1,30,20,27,2.449664,3.322148,0.302014,0.268457,4.181416,0.712389,16.65,0.5,"shrimp","cor_08_1_1","cor_08_1",23.5,"medium_shrimp",1,18.5,1
"cor_08",1,1,30,27,34,3.322148,4.060403,0.268457,0.402685,5.327434,0.805309,15.09,1,"shrimp","cor_08_1_1","cor_08_1",30.5,"medium_shrimp",1,18.5,1
"cor_08",1,1,30,34,41,4.060403,4.66443,0.402685,0.436242,4.769912,0.557523,15.45,1.8,"shrimp","cor_08_1_1","cor_08_1",37.5,"medium_shrimp",1,18.5,1
"cor_08",1,1,30,41,48,4.66443,6.006711,0.436242,0.402685,5.265487,1.300885,14.37,6.1,"shrimp","cor_08_1_1","cor_08_1",44.5,"medium_shrimp",1,18.5,1
"cor_08",1,2,30,20,27,2.416107,2.852349,0.268457,0.201342,4.212389,0.681416,11.5,0.2,"starved_shrimp","cor_08_1_2","cor_08_1",23.5,"starved shrimp",1,18.5,1
"cor_08",1,2,30,27,34,2.852349,3.691275,0.201342,0.436241,2.60177,0.743363,10.9,0.4,"starved_shrimp","cor_08_1_2","cor_08_1",30.5,"starved shrimp",1,18.5,1
"cor_08",1,2,30,34,41,3.691275,4.127517,0.436241,0.369127,1.672566,0.89823,8.74,1,"starved_shrimp","cor_08_1_2","cor_08_1",37.5,"starved shrimp",1,18.5,1
"cor_08",1,2,30,41,48,4.127517,5.067114,0.369127,0.973155,2.849558,1.424779,6.22,2,"starved_shrimp","cor_08_1_2","cor_08_1",44.5,"starved shrimp",1,18.5,1
"cor_08b",1,1,90,1,8,0.12,0.21,0.02,0.04,8,0.5,16.6,0.1,"mysids","cor_08b_1_1","cor_08b_1",4.5,"small_shrimp",0.5,18.5,1
"cor_08b",1,1,90,8,15,0.21,0.34,0.04,0.06,6.8,0.5,9.9,0.4,"mysids","cor_08b_1_1","cor_08b_1",11.5,"small_shrimp",0.5,18.5,1
"cor_08b",1,1,90,15,22,0.34,0.47,0.06,0.07,6.1,0.2,13.3,0.4,"mysids","cor_08b_1_1","cor_08b_1",18.5,"small_shrimp",0.5,18.5,1
"cor_08b",1,2,90,1,8,NA,NA,NA,NA,10,0.2,18.7,0.2,"mysids","cor_08b_1_2","cor_08b_1",4.5,"small_shrimp",1,18.5,1
"cor_08b",1,2,90,8,15,NA,NA,NA,NA,6.6,0.4,11.2,0.3,"mysids","cor_08b_1_2","cor_08b_1",11.5,"small_shrimp",1,18.5,1
"cor_08b",1,2,90,15,22,NA,NA,NA,NA,6.5,0.4,14.6,1.2,"mysids","cor_08b_1_2","cor_08b_1",18.5,"small_shrimp",1,18.5,1
"cor_08b",2,1,60,22,29,NA,NA,NA,NA,5.2,0.8,10.4,0.6,"grass shrimp","cor_08b_2_1","cor_08b_2",25.5,"medium_shrimp",0.428571428571429,18.5,1
"cor_08b",2,1,60,29,36,NA,NA,NA,NA,5.5,0.5,14.1,0.5,"grass shrimp","cor_08b_2_1","cor_08b_2",32.5,"medium_shrimp",0.428571428571429,18.5,1
"cor_08b",2,1,60,36,43,NA,NA,NA,NA,4.6,0.5,9.9,0.1,"grass shrimp","cor_08b_2_1","cor_08b_2",39.5,"medium_shrimp",0.428571428571429,18.5,1
"cor_08b",2,2,60,22,29,NA,NA,NA,NA,10,0.3,14.2,0.7,"grass shrimp","cor_08b_2_2","cor_08b_2",25.5,"medium_shrimp",0.857142857142857,18.5,1
"cor_08b",2,2,60,29,36,NA,NA,NA,NA,5.5,0.5,14,0.8,"grass shrimp","cor_08b_2_2","cor_08b_2",32.5,"medium_shrimp",0.857142857142857,18.5,1
"cor_08b",2,2,60,36,43,NA,NA,NA,NA,5.1,0.7,10.6,0.8,"grass shrimp","cor_08b_2_2","cor_08b_2",39.5,"medium_shrimp",0.857142857142857,18.5,1
"dom_01a",1,1,20,0,10,NA,NA,NA,NA,11.8,4.1,33.7,13.5,"mysids","dom_01a_1_1","dom_01a_1",5,"medium_shrimp",1,27,1
"dom_01a",1,1,17,10,20,NA,NA,NA,NA,9.8,1.8,22,7.9,"grass_shrimp","dom_01a_1_1","dom_01a_1",15,"medium_shrimp",1,27,1
"dom_01a",1,1,10,20,30,NA,NA,NA,NA,8.1,2.2,17.3,3.9,"grass_shrimp","dom_01a_1_1","dom_01a_1",25,"medium_shrimp",1,27,1
"dom_01a",1,1,5,30,40,NA,NA,NA,NA,7.3,0.7,16.7,1,"grass_shrimp","dom_01a_1_1","dom_01a_1",35,"medium_shrimp",1,27,1
"dom_01b",1,2,30,0,10,0.22,0.47,0.05,0.12,7.59,1.1,NA,NA,"mysids","dom_01b_1_2","dom_01b_1",5,"medium_shrimp",1,27,2
"dom_01b",1,2,30,10,20,NA,1.47,NA,0.12,11.4,1.58171632724406,NA,NA,"mysids","dom_01b_1_2","dom_01b_1",15,"medium_shrimp",1,27,3
"dom_01b",1,2,30,20,30,NA,NA,NA,NA,11.77,1.36016145721987,NA,NA,"grass_shrimp","dom_01b_1_2","dom_01b_1",25,"medium_shrimp",1,27,3
"dom_01b",1,2,30,30,40,NA,11.94103,37.14987,4.4226,9.28,1.45927324523254,NA,NA,"grass_shrimp","dom_01b_1_2","dom_01b_1",35,"medium_shrimp",1,27,3
"dom_01b",1,2,30,40,50,11.94103,23.4398,4.4226,7.51843,6.64,0.3,NA,NA,"grass_shrimp","dom_01b_1_2","dom_01b_1",45,"medium_shrimp",1,27,2
"dom_01b",1,2,30,50,60,23.4398,42.01474,7.51843,12.38329,5.9,0.3,NA,NA,"grass_shrimp","dom_01b_1_2","dom_01b_1",55,"medium_shrimp",1,27,2
"dom_01b",1,2,30,60,70,42.01474,53.95577,12.38329,14.59459,2.55,0.1,13.99,NA,"grass_shrimp","dom_01b_1_2","dom_01b_1",65,"medium_shrimp",1,27,2
