doi;first_author;year;facility;experiment;treatment;exp_id;included;reason_for_exclusion;t_initial;t_final;Temperature;weaning_prey;weaning_duration;main_prey;prey_status;ration_bw_perc;egg type;photoperiod;volume_l;animal_per_tank;density_animals_liter;notes
https://doi.org/10.1016/j.aquaculture.2006.02.025;Almansa E;2006;Ramalhete Aquaculture Field Station of the University of the Algarve (Portugal);1;1;alm_06_1_1;y;missing t;60;120;21;;;grass shrimp;live;libitum;cultured spawners;14:10;250;10;0.04;temperature derived from Sykes 2006, generation f5
https://doi.org/10.1016/j.aquaculture.2006.02.025;Almansa E;2006;Ramalhete Aquaculture Field Station of the University of the Algarve (Portugal);1;2;alm_06_1_2;y;missing t;60;120;21;;;fish;live;libitum;cultured spawners;14:10;250;10;0.04;temperature derived from Sykes 2006, generation f5
https://doi.org/10.1016/j.aquaculture.2006.02.025;Almansa E;2006;Ramalhete Aquaculture Field Station of the University of the Algarve (Portugal);2;3;alm_06_2_3;y;missing t;120;180;21;;;grass shrimp;live;libitum;cultured spawners;14:10;250;10;0.04;temperature derived from Sykes 2006, generation f5
https://doi.org/10.1016/j.aquaculture.2006.02.025;Almansa E;2006;Ramalhete Aquaculture Field Station of the University of the Algarve (Portugal);2;4;alm_06_2_4;y;missing t;120;180;21;;;fish;live;libitum;cultured spawners;14:10;250;10;0.04;temperature derived from Sykes 2006, generation f5
10.1016/j.aquaculture.2009.12.029;Baeza-Rojano E;2010;“Centro IFAPA – Agua del Pino”  Cartaya (Spain);1;1;bae_10_1_1;y;;0;21;20.5;;;caprellids;live;libitum;collected from wild;;10;10;1;
10.1016/j.aquaculture.2009.12.029;Baeza-Rojano E;2010;“Centro IFAPA – Agua del Pino”  Cartaya (Spain);1;2;bae_10_1_2;y;;0;21;20.5;;;gammarids;live;libitum;collected from wild;;10;10;1;
10.1016/j.aquaculture.2009.12.029;Baeza-Rojano E;2010;“Centro IFAPA – Agua del Pino”  Cartaya (Spain);1;3;bae_10_1_3;y;;0;21;20.5;;;mysids;live;libitum;collected from wild;;10;10;1;
10.3389/fmars.2020.00112;Capaz J;2020;Ramalhete Aquaculture Field Station of the University of the Algarve (Portugal);1;1;cap_20_1_1;y;;75;205;15;;;grass shrimp;frozen;libitum;cultured spawners;natural;3000;24;0.008;treatment Q
10.3389/fmars.2020.00112;Capaz J;2020;Ramalhete Aquaculture Field Station of the University of the Algarve (Portugal);1;2;cap_20_1_2;y;;75;205;15;;;grass shrimp;frozen;libitum;cultured spawners;natural;9000;24;0.002666667;treatment B
10.3389/fmars.2020.00112;Capaz J;2020;Ramalhete Aquaculture Field Station of the University of the Algarve (Portugal);1;3;cap_20_1_3;y;;75;205;15;;;grass shrimp;frozen;libitum;cultured spawners;natural;9000;24;0.002666667;treatment K
10.1111/ j.1365 -2109.20 08.0194 0. x;Correia;2008;Ramalhete Aquaculture Field Station of the University of the Algarve (Portugal);1;1;cor_08_1_1;y;;20;58;18.5;mysids;14;shrimp;live;libitum;wild spawner laid in lab;12:12;10;10;1;fed grass shrimp between day 15 and beginning of experiment
10.1111/ j.1365 -2109.20 08.0194 0. x;Correia;2008;Ramalhete Aquaculture Field Station of the University of the Algarve (Portugal);1;2;cor_08_1_2;y;;20;58;18.5;mysids;14;starved shrimp;live;libitum;wild spawner laid in lab;12:12;10;10;1;fed grass shrimp between day 15 and beginning of experiment
10.1111/ j.1365 -2109.20 08.0194 0. x;Correia;2008;Ramalhete Aquaculture Field Station of the University of the Algarve (Portugal);1;3;cor_08_1_3;n;enriched diet;20;58;18.5;mysids;14;enriched shrimp;live;libitum;wild spawner laid in lab;12:12;10;10;1;fed grass shrimp between day 15 and beginning of experiment
https://doi.org/10.1046/j.1365-2109.2001.00631.x;Domingues P M;2001;Ramalhete Aquaculture Field Station of the University of the Algarve (Portugal);1;1;dom_01a_1_1;y;;0;40;27;mysids;10;grass shrimp;live;libitum;cultured spawners;14:10;1.2;1;0.833333333;
https://doi.org/10.1023/A:1020416811568;Domingues P M;2001;Ramalhete Aquaculture Field Station of the University of the Algarve (Portugal);1;1;dom_01b_1_1;n;extreme weaning;0;120;27;artemia;20;grass shrimp;live;libitum;collected from wild;natural;275;30;0.109090909;
https://doi.org/10.1023/A:1020416811568;Domingues P M;2001;Ramalhete Aquaculture Field Station of the University of the Algarve (Portugal);1;2;dom_01b_1_2;y;;0;120;27;mysids;20;grass shrimp;live;libitum;collected from wild;natural;275;30;0.109090909;
https://doi.org/10.1023/A:1020416811568;Domingues P M;2001;Ramalhete Aquaculture Field Station of the University of the Algarve (Portugal);2;3;dom_01b_2_3;y;;0;90;27;artemia;10;grass shrimp;live;libitum;collected from wild;natural;275;20;0.072727273;
https://doi.org/10.1023/A:1020416811568;Domingues P M;2001;Ramalhete Aquaculture Field Station of the University of the Algarve (Portugal);2;4;dom_01b_2_4;y;;0;90;27;mysids;10;grass shrimp;live;libitum;collected from wild;natural;275;20;0.072727273;
https://doi.org/10.1023/A:1022148802078;Domingues P M;2002;Ramalhete Aquaculture Field Station of the University of the Algarve (Portugal);1;1;dom_02_1_1;y;;1;120;27;mysids;20;grass shrimp;live;libitum;collected from wild;natural;275;30;0.109090909;
https://doi.org/10.1023/A:1022148802078;Domingues P M;2002;Ramalhete Aquaculture Field Station of the University of the Algarve (Portugal);2;2;dom_02_2_2;y;;1*;220;15;mysids;20;grass shrimp;live;libitum;cultured spawners;natural;275;30;0.109090909;* Water temperature was of 19 °C at the start of the experiment
https://doi.org/10.1023/A:1024803802486;Domingues P M;2003;Ramalhete Aquaculture Field Station of the University of the Algarve (Portugal);1;1;dom_03a_1_1;y;;0;35;19;;;crangon;live;25;wild spawner laid in lab;natural;0.48;1;2.083333333;
https://doi.org/10.1023/A:1024803802486;Domingues P M;2003;Ramalhete Aquaculture Field Station of the University of the Algarve (Portugal);1;2;dom_03a_1_2;n;high density;0;35;19;;;crangon;live;25;wild spawner laid in lab;natural;0.48;3;6.25;
https://doi.org/10.1023/A:1024803802486;Domingues P M;2003;Ramalhete Aquaculture Field Station of the University of the Algarve (Portugal);1;3;dom_03a_1_3;n;high density;0;35;19;;;crangon;live;25;wild spawner laid in lab;natural;0.48;5;10.41666667;
https://doi.org/10.1023/A:1024803802486;Domingues P M;2003;Ramalhete Aquaculture Field Station of the University of the Algarve (Portugal);2;4;dom_03a_2_4;n;high density;0;35;19;;;crangon;live;25;wild spawner laid in lab;natural;0.48;5;10.41666667;
https://doi.org/10.1023/A:1024803802486;Domingues P M;2003;Ramalhete Aquaculture Field Station of the University of the Algarve (Portugal);2;5;dom_03a_2_5;y;;0;35;19;;;crangon;live;25;wild spawner laid in lab;natural;1.44;5;3.472222222;
https://doi.org/10.1023/A:1024803802486;Domingues P M;2003;Ramalhete Aquaculture Field Station of the University of the Algarve (Portugal);3;6;dom_03a_3_6;y;;0;40;20;crangon;5;crangon;live;libitum;wild spawner laid in lab;natural;100;25;0.25;
https://doi.org/10.1023/A:1024803802486;Domingues P M;2003;Ramalhete Aquaculture Field Station of the University of the Algarve (Portugal);3;7;dom_03a_3_7;y;;0;40;20;crangon;5;fish fry;live;libitum;wild spawner laid in lab;natural;100;25;0.25;
https://doi.org/10.1023/B:AQUI.0000004195.92236.3a;Domingues P M;2003;Ramalhete Aquaculture Field Station of the University of the Algarve (Portugal);1;1;dom_03b_1_1;y;;90;200;18;;;grass shrimp;live;25/30;cultured spawners;16:08;250;30;0.12;
https://doi.org/10.1023/B:AQUI.0000004195.92236.3a;Domingues P M;2003;Ramalhete Aquaculture Field Station of the University of the Algarve (Portugal);1;2;dom_03b_1_2;y;;90;200;18;;;grass shrimp;frozen;25/30;cultured spawners;16:08;250;30;0.12;
https://doi.org/10.1023/B:AQUI.0000004195.92236.3a;Domingues P M;2003;Ramalhete Aquaculture Field Station of the University of the Algarve (Portugal);2;3;dom_03b_2_3;y;;50;79;18;;;grass shrimp;live;20;cultured spawners;16:08;10;15;1.5;
