"t","igr.mu.obs","igr.sd.obs","igr.mu.pred.EM1","igr.sd.pred.EM1","igr.mu.pred.EM2","igr.mu.pred.EM2.dev","igr.sd.pred.EM2","igr.sd.pred.EM2.dev","igr.sd.pred.EM3"
6,4,0.072,4,0.167,4.02,0.1,2.548,0.034,0.1
16,9.5,0.436,9.49,0.381,9.49,0.1,2.59,0.04,0.1
26,8.4,2.903,8.31,3.053,8.38,0.17,4.021,0.147,3.1
36,6.5,5.754,6.82,5.232,6.82,0.34,7.207,0.229,4.9
46,4.6,1.004,4.63,0.372,4.63,0.37,8.902,0.119,0.3
56,3.5,0.701,3.5,0.319,3.55,0.41,9.049,0.136,0.7
66,4.3,0.421,4.28,0.55,4.24,0.48,9.098,0.164,1.5
76,3,2.803,3.08,2.691,3.07,0.41,9.427,0.188,2.7
86,2,1.233,2.03,1.233,2.07,0.49,9.856,0.125,1.9
96,1.8,0.847,1.73,1.125,1.63,0.42,10.039,0.157,1.7
106,1.6,0.719,1.55,1.377,1.49,0.39,10.17,0.139,2.1
116,2,0.335,1.99,0.358,1.93,0.48,10.249,0.13,1.5
126,1.4,0.705,1.44,0.392,1.33,0.38,10.26,0.159,0.7
136,1.1,0.173,1.12,0.533,1.1,0.43,10.297,0.165,0.5
146,1,0.654,1.02,0.505,0.96,0.49,10.218,0.142,1.1
