"t","igr.mu.obs","igr.mu.sample","igr.sd.obs","igr.sd.sample","igr.mu.pred.EM1","igr.sd.pred.EM1","igr.mu.pred.EM2","igr.mu.pred.EM2.dev","igr.sd.pred.EM2","igr.sd.pred.EM2.dev","igr.sd.pred.EM3"
6,4,3.83802892429072,1.063,1.076,4.51,0.624,4.64,0.36,2.369,0.173,0.3
16,9.5,9.42512359242952,1.118,1.123,8.61,1.747,8.63,0.5,2.894,0.358,1.7
26,8.4,8.60929702744043,7.358,7.918,11.85,4.742,11.99,0.93,5.81,0.653,4.9
36,6.5,6.51717729721071,0.284,0.361,2.65,4.913,2.41,1.76,9.07,0.765,4.7
46,4.6,4.43911506386071,1.496,1.489,3.69,2.91,4.09,2.11,10.668,0.797,2.7
56,3.5,4.0314321301283,2.949,2.738,4.8,4.972,5.32,1.8,9.828,0.836,0.3
66,4.3,4.3319728175847,0.296,0.306,5.8,9.029,5.15,2.38,11.837,1.73,4.7
76,3,3.18939881070387,0.845,0.813,1.45,6.812,1.48,1.71,13.559,1.542,1.5
86,2,2.00744862897421,0.763,0.761,5.83,2.513,6.09,1.91,11.462,0.919,0.3
96,1.8,1.74089200994193,0.587,0.567,0.15,7.167,0.8,2.53,13.557,1.538,4.9
106,1.6,1.58152674095565,0.242,0.251,1.4,6.136,2.1,2.3,14.033,1.306,0.7
116,2,2.17844663629629,1.243,1.028,3.37,4.064,3.29,2.46,11.694,0.776,0.1
126,1.4,1.45151233944715,0.317,0.257,-2.59,2.814,-2.02,1.71,11.684,1.185,2.9
136,1.1,0.743305930670399,0.8,0.899,3.9,2.29,4.07,2.14,11.991,0.699,2.1
146,1,1.02062022945517,0.253,0.312,1.02,5.429,0.83,1.83,10.986,1.118,0.5
6,4,4.00707336365445,1.063,1.185,4.63,0.714,4.73,0.59,2.79,0.165,0.1
16,9.5,9.41027170903436,1.118,1.069,9.58,1.26,9.61,0.47,2.441,0.221,0.1
26,8.4,9.70183689650146,7.358,6.772,8.65,6.466,8.57,1.3,6.783,0.76,4.9
36,6.5,6.52541492736806,0.284,0.241,8.96,1.474,8.9,1.86,8.966,0.593,1.3
46,4.6,4.70536444139537,1.496,1.372,1.76,4.079,1.41,1.61,9.812,0.66,4.3
56,3.5,3.22739260630435,2.949,2.324,0.88,9.011,0.42,2.62,14.374,1.499,4.5
66,4.3,4.30132538995235,0.296,0.282,6.51,7.287,6.59,3.62,15.681,1.663,1.1
76,3,2.89791188153063,0.845,0.822,5.06,4.888,5.03,1.9,12.366,0.883,0.1
86,2,2.0821081392245,0.763,0.768,2.66,2.654,2.38,2.21,11.812,0.571,2.3
96,1.8,1.85247976483791,0.587,0.515,0.59,0.487,0.59,2.45,11.93,0.874,2.1
106,1.6,1.56307609717001,0.242,0.233,2.6,4.725,2.94,1.65,10.549,0.842,0.1
116,2,1.90108765831313,1.243,0.969,-1.22,5.85,-1.79,2.52,11.458,0.846,4.9
126,1.4,1.4232258679861,0.317,0.407,3.7,6.48,3.5,1.82,11.082,0.949,0.7
136,1.1,1.07960147419293,0.8,0.794,0.33,5.247,0.24,1.76,10.106,1.019,4.9
146,1,1.07668012059072,0.253,0.252,0.25,3.535,-0.19,2.52,12.225,0.617,2.9
6,4,3.80776374878562,1.063,1.089,3.5,0.833,3.53,0.58,2.618,0.171,0.9
16,9.5,9.39599215248951,1.118,1.37,9.24,1.085,9.19,0.6,3.074,0.245,0.9
26,8.4,8.16220923251949,7.358,7.376,11.01,6.716,10.7,1.29,7.361,0.861,4.9
36,6.5,6.54943199936023,0.284,0.287,6.21,0.58,6.14,2.16,10.073,0.608,0.3
46,4.6,4.28482279728183,1.496,1.394,3.79,3.309,3.39,1.88,9.583,0.663,0.3
56,3.5,3.91163646931564,2.949,2.93,2.06,5.311,2.05,1.7,10.121,0.859,4.9
66,4.3,4.27509907969571,0.296,0.347,5.84,2.61,5.97,1.64,11.423,0.656,0.7
76,3,3.21647788447932,0.845,0.939,1.49,3.416,1.99,2.25,11.471,0.645,4.3
86,2,1.93938184585748,0.763,0.815,2.71,3.793,2.43,2.19,11.044,0.717,0.3
96,1.8,1.85080751763802,0.587,0.491,2.01,2.075,1.9,1.99,11.19,0.68,2.7
106,1.6,1.54617001469438,0.242,0.236,1.9,2.429,1.83,1.69,11.8,0.654,0.7
116,2,2.304004673869,1.243,0.936,-1.23,4.31,-1.52,1.61,10.367,0.811,0.9
126,1.4,1.51931533568081,0.317,0.253,9.17,1.572,9.17,2.6,9.837,0.608,1.1
136,1.1,0.952778281436795,0.8,0.831,-5.23,3.728,-5.47,1.62,9.639,0.738,0.1
146,1,1.02312739916206,0.253,0.23,2.82,6.42,2.9,1.64,10.609,0.992,4.7
6,4,4.34398700972887,1.063,1.113,4.52,1.472,4.51,0.53,2.849,0.241,1.5
16,9.5,9.40630543777114,1.118,0.896,9.54,0.296,9.42,0.57,3.242,0.19,0.3
26,8.4,11.6966010461977,7.358,7.023,9.74,6.602,9.63,1.37,7.286,0.863,4.9
36,6.5,6.48004959806322,0.284,0.313,6.02,3.012,5.72,1.84,9.495,0.848,0.1
46,4.6,4.71103715326468,1.496,1.659,4.56,6.796,5.17,1.78,10.662,1.331,4.9
56,3.5,4.03608339130797,2.949,2.524,1.88,3.85,2.58,2.23,13.715,1.087,4.7
66,4.3,4.35606496971252,0.296,0.3,6.05,5.634,6.14,2.31,13.037,1.059,0.7
76,3,3.0846570951089,0.845,0.845,0.96,6.359,0.68,2.11,9.976,1.061,1.5
86,2,2.09454622312347,0.763,0.779,2.18,1.289,2.18,1.12,7.403,0.656,1.1
96,1.8,1.59032253133198,0.587,0.515,2.24,4.279,2.95,1.54,8.899,0.674,4.7
106,1.6,1.57873110764365,0.242,0.235,0.94,1.251,0.44,1.88,10.224,0.709,2.1
116,2,1.92148360759773,1.243,1.393,2.57,2.536,2.1,1.42,9.395,0.577,0.5
126,1.4,1.37336921890355,0.317,0.287,5.27,1.968,5.45,1.48,8.634,0.617,2.7
136,1.1,1.46600579082378,0.8,0.862,-3.34,7.328,-3.96,1.77,11.269,1.428,4.9
146,1,0.974788114608269,0.253,0.263,5.11,5.743,5.38,2.28,12.987,1.344,0.5
